09:18:20.473 [main] INFO  Magneto - Launched edge Browser
09:18:20.661 [main] INFO  Magneto - Opening Url
09:18:26.336 [main] INFO  Magneto - Opened Url : https://magento.softwaretestingboard.com/
09:18:27.986 [main] INFO  Magneto - Element clicked successfully : [[EdgeDriver: MicrosoftEdge on windows (51e3433c509806540b9900e8af884bdb)] -> xpath: (//ul/li/a[normalize-space()='Sign In'])[1]]
09:18:28.105 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[EdgeDriver: MicrosoftEdge on windows (51e3433c509806540b9900e8af884bdb)] -> xpath: //div[@class='control']/input[@id='email']]
09:18:28.399 [main] INFO  Magneto - Entered : shubham@example.com
09:18:28.399 [main] INFO  Magneto - shubham@example.com Successfully entered in field
09:18:28.441 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[EdgeDriver: MicrosoftEdge on windows (51e3433c509806540b9900e8af884bdb)] -> xpath: (//div[@class='field password required']/div/input[@id='pass'])[1]]
09:18:28.648 [main] INFO  Magneto - Entered : Password123
09:18:28.648 [main] INFO  Magneto - Password123 Successfully entered in field
09:18:28.713 [main] INFO  Magneto - Scroll successfully : [[EdgeDriver: MicrosoftEdge on windows (51e3433c509806540b9900e8af884bdb)] -> xpath: (//div[@class='primary']/button[@id='send2'])[1]]
09:18:31.209 [main] INFO  Magneto - Element clicked successfully : [[EdgeDriver: MicrosoftEdge on windows (51e3433c509806540b9900e8af884bdb)] -> xpath: (//div[@class='primary']/button[@id='send2'])[1]]
09:18:31.926 [main] INFO  Magneto - Login successful: Welcome, shubham Doe!
